"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J27,J26,J28,J15,J9,J14,J5,J12,J25,J7,J24,J6,J8,J10,J11";"5442251";15;"5442251";;;
2;"J18,J13";"389690002";2;"38969-0002";;;
3;"R68,R67,R65,R69,R66,R70";"RESC6431X65N";6;"RC2512JK-071ML";;;
4;"R72,R2,R73,R4,R59,R1,R5,R3";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";8;"4.7k";;;
5;"M2,M3,M8,M1";"FanPinHeader_1x04_P2.54mm_Vertical";4;"Fan_4pin";;;
6;"C65,C34,C105,C32,C89,C82,C84,C70,C64,C81,C101,C61,C83,C92,C72,C60,C85";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";17;"100nF";;;
7;"J1,J3,J4,J2,J16,J17";"1987724";6;"1987724";;;
8;"C59,C62,C63,C90,C66,C91,C86";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";7;"10uF";;;
9;"Q1";"SIHFR120GE3";1;"SIHFR120-GE3";;;
10;"R60";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"120";;;
11;"C95,C93,C94,C67,C68";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";5;"22pF";;;
12;"R62,R63";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";2;"220";;;
13;"Z4,Z2";"SOD3716X135N";2;"SZMMSZ4678T1G";;;
14;"R71";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"60k";;;
15;"R74,R76";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";2;"10k";;;
16;"C73,C71,C88";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";3;"1uF";;;
17;"IC6";"SOP65P640X120-20N";1;"MCP2515-e_ST";;;
18;"LED1";"LEDC3216X120N";1;"LTST-C230CKT";;;
19;"LED2";"LEDC3216X120N";1;"LTST-C230GKT";;;
20;"C4,C5,C3,C2";"CAPPRD500W60D1025H1750";4;"UVY1E102MPD1TD";;;
21;"D1";"VS30CDU06HM3I";1;"VS-30CDU06HM3_I";;;
22;"C69";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"100pF";;;
23;"Z1";"1SMB2EZ15_R1_00001";1;"1SMB2EZ15_R1_00001";;;
24;"Y1";"Crystal_HC49-4H_Vertical";1;"8MHz";;;
25;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_2_Open";;;
26;"Z3";"SOD3716X135N";1;"MMSZ5231B-TP";;;
27;"IC5";"SOIC127P600X175-8N";1;"LM358DR";;;
28;"A1";"Arduino_UNO_R3_ModifiedCourtyard";1;"Arduino_UNO_R3";;;
29;"IC1";"SOIC127P1150X280-8N";1;"ISO1042BDWVR";;;
30;"FL1";"ACT45B1012PTL003";1;"ACT45B-101-2P-TL003";;;
31;"PS1";"RFMM0505S";1;"RFMM-0505S";;;
32;"R64";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"6.8k";;;
33;"R75";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"2.74k";;;
